Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
103836,7/28/2023,Hotline,0,complete,1,Kho Online,complete,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
103845,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,Telesale,Daily use,Sơ mi dài,300000,300000
103850,7/28/2023,Trực tiếp - Cửa hàng,30000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
103868,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
103874,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
103897,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Váy,Váy liền,430000,430000
103909,7/28/2023,Hotline,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Khách không đến,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
103957,7/28/2023,Zalo,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
103971,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
103980,7/28/2023,Trực tiếp - Cửa hàng,38000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
103983,7/28/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Áo (mùa hè),Áo phông,300000,300000
103988,7/28/2023,Facebook,50000,complete,1,Kho Online,complete,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
103990,7/28/2023,Zalo,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
104034,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
104049,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
104056,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
104061,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Váy liền,430000,430000
104064,7/28/2023,Hotline,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Đơn trùng,Đặt trước,Chị,,Váy,Váy liền,430000,430000
104068,7/28/2023,Hotline,38000,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Áo croptop sơ mi,280000,280000
104083,7/28/2023,Trực tiếp - Cửa hàng,70000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
104095,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Quần,Quần tây,420000,420000
104097,7/28/2023,Instagram,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Quần,Quần tây,420000,420000
104101,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
104121,7/28/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Váy liền,430000,430000
104140,7/28/2023,Hotline,0,cancel,1,Kho Online,cancel,Khách không đến,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
104146,7/28/2023,Trực tiếp - Cửa hàng,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Mua tại quầy,Chị,,Váy,Váy liền,430000,430000
104168,7/28/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
